Team,Structure (10),Grammar (2),Roles (5),Open and closed questions (5),Questions structured (5),Questions relevant (5),General to specific questions (5),Transcript (5),Screenshots present (4),Table easy to read (5),Products and features are relevant to what customer wants (8),Summarizing critical points of interview (10),Clear learning points (10),Questions the team still has (10),Outline of the next steps (10),Recording is present (2)
Team 1,,,,,,,,,,,,,,,,
Team 2,,,,,,,,,,,,,,,,
Team 3,,,,,,,,,,,,,,,,
Team 4,,,,,,,,,,,,,,,,
Team 5,,,,,,,,,,,,,,,,
Team 6,,,,,,,,,,,,,,,,
Team 7,,,,,,,,,,,,,,,,
Team 8,,,,,,,,,,,,,,,,
Team 9,,,,,,,,,,,,,,,,
Team 10,,,,,,,,,,,,,,,,
Team 11,,,,,,,,,,,,,,,,
Team 12,,,,,,,,,,,,,,,,
Team 13,,,,,,,,,,,,,,,,
Team 14,,,,,,,,,,,,,,,,
Team 15,,,,,,,,,,,,,,,,
Team 16,,,,,,,,,,,,,,,,
Team 17,,,,,,,,,,,,,,,,
Team 18,,,,,,,,,,,,,,,,
Team 19,,,,,,,,,,,,,,,,
Team 20,,,,,,,,,,,,,,,,
Team 21,,,,,,,,,,,,,,,,
Team 22,,,,,,,,,,,,,,,,
Team 23,,,,,,,,,,,,,,,,
Team 24,,,,,,,,,,,,,,,,
Team 25,,,,,,,,,,,,,,,,
Team 26,,,,,,,,,,,,,,,,
Team 27,,,,,,,,,,,,,,,,
Team 28,,,,,,,,,,,,,,,,
Team 29,,,,,,,,,,,,,,,,
Team 30,,,,,,,,,,,,,,,,
Team 31,,,,,,,,,,,,,,,,
Team 32,,,,,,,,,,,,,,,,
Team 33,,,,,,,,,,,,,,,,
Team 34,,,,,,,,,,,,,,,,
Team 35,,,,,,,,,,,,,,,,
Team 36,,,,,,,,,,,,,,,,
Team 37,,,,,,,,,,,,,,,,
Team 38,,,,,,,,,,,,,,,,
Team 39,,,,,,,,,,,,,,,,
Team 40,,,,,,,,,,,,,,,,
Team 41,,,,,,,,,,,,,,,,
Team 42,,,,,,,,,,,,,,,,
Team 43,,,,,,,,,,,,,,,,
Team 44,,,,,,,,,,,,,,,,
Team 45,,,,,,,,,,,,,,,,
Team 46,,,,,,,,,,,,,,,,
Team 47,,,,,,,,,,,,,,,,
Team 48,,,,,,,,,,,,,,,,
Team 49,,,,,,,,,,,,,,,,
Team 50,,,,,,,,,,,,,,,,
Team 51,,,,,,,,,,,,,,,,
Team 52,,,,,,,,,,,,,,,,
Team 53,,,,,,,,,,,,,,,,
Team 54,,,,,,,,,,,,,,,,
Team 55,,,,,,,,,,,,,,,,
Team 56,,,,,,,,,,,,,,,,
Team 57,,,,,,,,,,,,,,,,
